PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=2.81 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=2.54 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=2.04 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=2.07 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=2.28 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=2.42 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=2.30 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=2.42 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=2.40 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=2.26 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=2.11 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=2.43 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=2.42 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=2.16 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=2.30 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=2.24 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=2.19 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=2.07 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=2.43 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=2.14 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=2.28 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=2.12 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=2.13 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=2.34 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=2.53 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=2.41 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=2.08 ms
