PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=16.7 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=18.7 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=6.29 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=13.1 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=17.1 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=25.2 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=19.9 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=14.0 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=10.0 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=25.4 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=4.07 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=2.63 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=13.1 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=25.8 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=8.86 ms
64 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=2.98 ms
64 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=17.3 ms
64 bytes from 10.0.0.1: icmp_seq=56 ttl=64 time=2.56 ms
64 bytes from 10.0.0.1: icmp_seq=57 ttl=64 time=22.7 ms
64 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=21.8 ms
