Size:56961, Duration(usec):408
Size:48602, Duration(usec):391
Size:152517, Duration(usec):407
Size:48742, Duration(usec):305
Size:73841, Duration(usec):372
Size:436987, Duration(usec):606
Size:749494, Duration(usec):898
Size:21630, Duration(usec):313
Size:2512219, Duration(usec):1584
Size:1896962, Duration(usec):1284
Size:28432, Duration(usec):352
Size:10478, Duration(usec):410
Size:1861328, Duration(usec):1188
Size:55554, Duration(usec):350
Size:21740, Duration(usec):314
Size:4718048, Duration(usec):2957
Size:592599, Duration(usec):722
Size:11302, Duration(usec):250
Size:1553795, Duration(usec):1159
Size:74, Duration(usec):315
Size:4902, Duration(usec):329
Size:3781362, Duration(usec):2443
Size:4165940, Duration(usec):2371
Size:223952, Duration(usec):511
Size:21497, Duration(usec):323
Size:595692, Duration(usec):722
Size:535871, Duration(usec):589
Size:17730939, Duration(usec):9881
Size:8851364, Duration(usec):4969
Size:3898, Duration(usec):285
Size:4822459, Duration(usec):2788
Size:527077, Duration(usec):718
Size:5576341, Duration(usec):3163
Size:6303, Duration(usec):283
Size:17252, Duration(usec):304
Size:29109, Duration(usec):364
Size:55982, Duration(usec):363
Size:25861, Duration(usec):339
Size:62129, Duration(usec):379
Size:20467, Duration(usec):289
Size:37434, Duration(usec):302
Size:43493, Duration(usec):378
Size:42906, Duration(usec):355
Size:2350160, Duration(usec):1495
Size:29660, Duration(usec):349
Size:24263, Duration(usec):293
Size:16241, Duration(usec):238
Size:4896, Duration(usec):291
Size:47151, Duration(usec):340
Size:2533, Duration(usec):309
Size:1900720, Duration(usec):1206
Size:14359471, Duration(usec):7738
Size:1362685, Duration(usec):1100
Size:1220, Duration(usec):317
Size:787690, Duration(usec):833
Size:15599975, Duration(usec):8327
Size:839563, Duration(usec):756
Size:71610, Duration(usec):377
Size:3112730, Duration(usec):1856
Size:200191, Duration(usec):408
Size:187394, Duration(usec):472
Size:535670, Duration(usec):710
Size:1035680, Duration(usec):1011
Size:3816554, Duration(usec):2241
Size:3912661, Duration(usec):2209
Size:156035, Duration(usec):467
Size:9892680, Duration(usec):5446
Size:1251680, Duration(usec):1016
Size:16122, Duration(usec):305
Size:44024, Duration(usec):400
Size:1372623, Duration(usec):1104
Size:43695, Duration(usec):390
Size:8835, Duration(usec):347
Size:94825, Duration(usec):373
Size:732380, Duration(usec):784
Size:4301314, Duration(usec):2536
Size:74166, Duration(usec):349
Size:128290, Duration(usec):462
Size:148830, Duration(usec):406
Size:7955677, Duration(usec):4416
Size:968832, Duration(usec):983
Size:8974, Duration(usec):315
Size:2627196, Duration(usec):1800
Size:20168, Duration(usec):312
Size:2265727, Duration(usec):1696
Size:11492, Duration(usec):306
Size:65706, Duration(usec):376
Size:8156861, Duration(usec):4727
Size:975666, Duration(usec):960
Size:25069, Duration(usec):317
Size:178239, Duration(usec):433
Size:79233, Duration(usec):337
Size:24810, Duration(usec):328
Size:135467, Duration(usec):448
Size:56873, Duration(usec):412
Size:47126, Duration(usec):378
Size:1178185, Duration(usec):1079
Size:6043, Duration(usec):342
Size:6287, Duration(usec):328
Size:69751, Duration(usec):425
Size:909369, Duration(usec):929
Size:65492, Duration(usec):324
Size:73846, Duration(usec):360
Size:144498, Duration(usec):409
Size:23750, Duration(usec):272
Size:8422, Duration(usec):341
Size:2490, Duration(usec):305
Size:7847, Duration(usec):295
Size:3494159, Duration(usec):2098
Size:9791, Duration(usec):308
Size:2135, Duration(usec):327
Size:117305, Duration(usec):432
Size:56700, Duration(usec):381
Size:46536, Duration(usec):371
Size:548226, Duration(usec):674
Size:64860, Duration(usec):382
Size:32854, Duration(usec):317
Size:30543, Duration(usec):354
Size:39066, Duration(usec):299
Size:79038, Duration(usec):381
Size:316696, Duration(usec):469
Size:13482, Duration(usec):303
Size:27070, Duration(usec):322
Size:1935673, Duration(usec):1277
Size:6454, Duration(usec):302
Size:23192, Duration(usec):338
Size:78588, Duration(usec):373
Size:2189167, Duration(usec):1366
Size:68301, Duration(usec):323
Size:1940840, Duration(usec):1301
Size:4597492, Duration(usec):2599
Size:28701925, Duration(usec):12125
Size:18344, Duration(usec):286
Size:32379, Duration(usec):355
Size:78474, Duration(usec):378
Size:6202, Duration(usec):298
Size:5089649, Duration(usec):2860
Size:9271944, Duration(usec):5309
Size:1880114, Duration(usec):1236
Size:1170806, Duration(usec):1064
Size:309725, Duration(usec):565
Size:7145, Duration(usec):281
Size:4882, Duration(usec):351
Size:1899585, Duration(usec):1219
Size:78930, Duration(usec):476
Size:30365, Duration(usec):331
Size:172203, Duration(usec):433
Size:16805548, Duration(usec):9022
Size:4661102, Duration(usec):2615
Size:140952, Duration(usec):446
Size:76265, Duration(usec):393
Size:4001133, Duration(usec):2335
Size:43299, Duration(usec):347
Size:1815323, Duration(usec):1220
Size:71308, Duration(usec):377
Size:1238540, Duration(usec):1030
Size:38269, Duration(usec):339
Size:4312, Duration(usec):250
Size:19550, Duration(usec):291
Size:75875, Duration(usec):316
Size:3054518, Duration(usec):1965
Size:1757876, Duration(usec):1296
Size:115755, Duration(usec):383
Size:36209, Duration(usec):336
Size:9709, Duration(usec):313
Size:3575, Duration(usec):417
Size:28346, Duration(usec):261
Size:2810080, Duration(usec):1890
Size:23133652, Duration(usec):11533
Size:5398, Duration(usec):134
Size:3676131, Duration(usec):1975
Size:1713347, Duration(usec):1087
Size:24568049, Duration(usec):12333
Size:21392, Duration(usec):300
Size:80179, Duration(usec):351
Size:78807, Duration(usec):386
Size:405641, Duration(usec):613
Size:7730984, Duration(usec):4318
Size:7175425, Duration(usec):4135
Size:1031013, Duration(usec):1027
Size:88791, Duration(usec):331
Size:105277, Duration(usec):446
Size:5491, Duration(usec):324
Size:11825, Duration(usec):346
Size:1112492, Duration(usec):1036
Size:34243, Duration(usec):322
Size:977, Duration(usec):334
Size:127203, Duration(usec):380
Size:85857, Duration(usec):446
Size:1730154, Duration(usec):1206
Size:48152, Duration(usec):353
Size:32308, Duration(usec):377
Size:1494, Duration(usec):323
Size:22447720, Duration(usec):11964
Size:925222, Duration(usec):991
Size:23164, Duration(usec):354
Size:202324, Duration(usec):500
Size:1011922, Duration(usec):1094
Size:12687199, Duration(usec):6889
Size:8875, Duration(usec):338
