Time	Cpu Cycles	Frequency
2019-01-14 19:39:27.752885	23534406493180	0.000000
2019-01-14 19:39:27.852964	23534745978208	3392170496.000000
2019-01-14 19:39:27.953040	23535085454676	3392186624.000000
2019-01-14 19:39:28.053119	23535424942636	3392199680.000000
2019-01-14 19:39:28.153198	23535764431608	3392209920.000000
2019-01-14 19:39:28.253267	23536103884904	3392192256.000000
2019-01-14 19:39:28.353337	23536443341822	3392194560.000000
2019-01-14 19:39:28.453418	23536782834348	3392177664.000000
2019-01-14 19:39:28.553499	23537122328870	3392197632.000000
2019-01-14 19:39:28.653546	23537461706932	3392186368.000000
2019-01-14 19:39:28.753614	23537801156982	3392193792.000000
2019-01-14 19:39:28.853689	23538140630204	3392188160.000000
2019-01-14 19:39:28.953771	23538480126434	3392180736.000000
2019-01-14 19:39:29.053847	23538819602656	3392184064.000000
2019-01-14 19:39:29.153929	23539159100042	3392192256.000000
2019-01-14 19:39:29.253996	23539498547550	3392202240.000000
2019-01-14 19:39:29.354071	23539838022064	3392200960.000000
2019-01-14 19:39:29.454147	23540177498786	3392189184.000000
2019-01-14 19:39:29.554223	23540516975178	3392185856.000000
2019-01-14 19:39:29.654299	23540856452352	3392193792.000000
2019-01-14 19:39:29.754366	23541195897208	3392175872.000000
2019-01-14 19:39:29.854438	23541535362754	3392212992.000000
2019-01-14 19:39:29.954519	23541874855898	3392183808.000000
2019-01-14 19:39:30.054599	23542214347012	3392197376.000000
2019-01-14 19:39:30.154673	23542553815192	3392171520.000000
2019-01-14 19:39:30.254740	23542893263620	3392211456.000000
2019-01-14 19:39:30.354814	23543232733500	3392188672.000000
2019-01-14 19:39:30.454896	23543572228506	3392168448.000000
2019-01-14 19:39:30.554976	23543911719356	3392194816.000000
2019-01-14 19:39:30.655057	23544251212756	3392186368.000000
2019-01-14 19:39:30.755123	23544590655582	3392189440.000000
2019-01-14 19:39:30.855196	23544930124544	3392213248.000000
2019-01-14 19:39:30.955272	23545269602286	3392199424.000000
2019-01-14 19:39:31.055347	23545609073314	3392166144.000000
2019-01-14 19:39:31.155422	23545948546450	3392187136.000000
2019-01-14 19:39:31.255489	23546287995362	3392216320.000000
2019-01-14 19:39:31.355563	23546627465284	3392188928.000000
2019-01-14 19:39:31.455637	23546966935378	3392190720.000000
2019-01-14 19:39:31.555717	23547306426618	3392198656.000000
2019-01-14 19:39:31.655792	23547645900086	3392190464.000000
Average CPU = 3307386451.200000
***
Time	Cpu Cycles	Frequency
2019-01-14 19:40:01.784392	23649847875136	0.000000
2019-01-14 19:40:01.884461	23650187329572	3392203776.000000
2019-01-14 19:40:01.984535	23650526799626	3392190208.000000
2019-01-14 19:40:02.084610	23650866274851	3392208128.000000
2019-01-14 19:40:02.184680	23651205728974	3392166656.000000
2019-01-14 19:40:02.284749	23651545184514	3392214784.000000
2019-01-14 19:40:02.384819	23651884642116	3392201472.000000
2019-01-14 19:40:02.484899	23652224130952	3392174592.000000
2019-01-14 19:40:02.584963	23652563568130	3392200704.000000
2019-01-14 19:40:02.685066	23652903135064	3392175360.000000
2019-01-14 19:40:02.785142	23653242611371	3392185088.000000
2019-01-14 19:40:02.885215	23653582078548	3392195584.000000
2019-01-14 19:40:02.985290	23653921552254	3392193024.000000
2019-01-14 19:40:03.085366	23654261030106	3392200448.000000
2019-01-14 19:40:03.185444	23654600513604	3392189184.000000
2019-01-14 19:40:03.285517	23654939982074	3392208384.000000
2019-01-14 19:40:03.385593	23655279458160	3392182784.000000
2019-01-14 19:40:03.485666	23655618926110	3392203264.000000
2019-01-14 19:40:03.585740	23655958395514	3392183808.000000
2019-01-14 19:40:03.685816	23656297871200	3392178688.000000
2019-01-14 19:40:03.785884	23656637322892	3392210176.000000
2019-01-14 19:40:03.885962	23656976806228	3392187392.000000
2019-01-14 19:40:03.986053	23657316332532	3392176128.000000
2019-01-14 19:40:04.086129	23657655809934	3392195840.000000
2019-01-14 19:40:04.186203	23657995281182	3392202240.000000
2019-01-14 19:40:04.286274	23658334741790	3392197632.000000
2019-01-14 19:40:04.386366	23658674270872	3392169984.000000
2019-01-14 19:40:04.486458	23659013801930	3392189696.000000
2019-01-14 19:40:04.586532	23659353273482	3392205312.000000
2019-01-14 19:40:04.686608	23659692748736	3392174592.000000
2019-01-14 19:40:04.786680	23660032212454	3392194816.000000
2019-01-14 19:40:04.886755	23660371687212	3392203520.000000
2019-01-14 19:40:04.986830	23660711161004	3392193792.000000
2019-01-14 19:40:05.086907	23661050640566	3392183552.000000
2019-01-14 19:40:05.186986	23661390129604	3392210432.000000
2019-01-14 19:40:05.287067	23661729623286	3392189184.000000
2019-01-14 19:40:05.387143	23662069100722	3392196352.000000
2019-01-14 19:40:05.487220	23662408579010	3392171008.000000
2019-01-14 19:40:05.587301	23662748072070	3392183040.000000
2019-01-14 19:40:05.687381	23663087563998	3392205568.000000
Average CPU = 3307387404.800000
***
